Unnamed: 0,Bike Name,Price,Kwh,Range_per_charge,Max_speed
0,Ola S1 Pro,129000.0,4.0,195.0,120 km/Hr
1,TVS iQube,117000.0,3.4,100.0,78 km/Hr
2,Ather 450X,128000.0,3.7,150.0,90 km/Hr
3,Bajaj Chetak,144000.0,3.2,127.0,73 km/Hr
4,Ola S1 X,79999.0,2.0,95.0,85 km/Hr
5,Hero Electric Optima,129000.0,,,6.5 Hr
6,Revolt RV400,143000.0,3.24,150.0,85 km/Hr
7,Vida V1,97800.0,3.94,110.0,80 km/Hr
8,Kinetic e-Luna,74990.0,1.7,90.0,50 km/Hr
9,Ola S1 Air,104000.0,3.0,151.0,90 km/Hr
10,Simple One,150000.0,5.0,212.0,105 km/Hr
11,Yulu Wynn,55555.0,,,
12,River Indie,138000.0,,,
13,Ultraviolette F77,550000.0,10.3,307.0,152 km/Hr
14,Oben Rorr,149000.0,4.4,187.0,100 km/Hr
15,Ather 450S,109000.00000000001,2.9,115.0,90 km/Hr
16,Tork Kratos R,167000.0,,,6-7 Hr
17,Bounce Infinity E1+,89999.0,1.9,85.0,65 km/Hr
18,Komaki Ranger,185000.0,,,
19,Ampere Magnus EX,104000.0,2.29,121.0,50 km/Hr
20,AMO Electric Jaunty-3W,78819.0,,,6 Hr
21,Kinetic Green Zing,84990.0,,,3-4 Hr
22,TVS X,249000.00000000003,4.44,140.0,105 km/Hr
23,Okinawa PraisePro,99645.0,,,2-3 Hr
24,Komaki Flora,69000.0,3.0,100.0,5 Hr
25,Matter Aera,183000.0,,,
26,Okaya Faast,119000.0,4.4,160.0,65 km/Hr
27,Motovolt Urbn e-Bike,53999.0,0.72,120.0,25 km/Hr
28,Ather 450 Apex,188000.0,3.7,157.0,100 km/Hr
29,Hero Electric Atria,77690.0,,,4-5 Hr
30,Hero Electric NYX,86540.0,,,4-5 Hr
31,Ozotec Bheem,65990.0,,,
32,BattRE Electric Storie,101000.0,3.1,132.0,5 Hr
33,ABZO VS01,192000.0,5.04,180.0,6.35 Hr
34,BGauss C12i,126000.0,,,4.15-4.3 Hr
35,Komaki XGT X One,78920.0,,,
36,Kinetic Green Zoom,82500.0,,,3-4 Hr
37,Kabira Mobility KM3000,174000.0,4.1,178.0,120 km/Hr
38,Zelio Gracy i,59755.0,,,
39,Avon E Scoot,45000.0,0.96,65.0,24 km/Hr
40,Komaki XGT CAT 2.0,113999.99999999999,,,
41,ADMS EVA,135000.0,2.88,150.0,
42,PURE EV Epluto 7G,89999.0,,,4 Hr
43,HCD India NPS Cargo,98850.0,,,3 Hr
44,BNC Motors Challenger,117000.0,,,3-4 Hr
45,Avon E Plus,25000.0,0.58,50.0,24 km/Hr
46,BattRE Electric LoEV,59990.0,,,
47,Revamp Moto RM Buddie 25,69999.0,,,3 Hr
48,Lectrix EV LXS G 2.0,87999.0,,,3 Hr
49,Power EV P-Sport,189000.0,4.32,210.0,85 km/Hr
50,Simple Dot One,139000.0,,,
51,Gravton Quanta,99000.0,,,
52,Ampere NXG,155000.0,,,
53,BGauss D15,145000.0,,,5.5 Hr
54,Benling Aura,121000.0,,,4 Hr
55,Deltic Drixx,86990.0,1.58,100.0,25 km/Hr
56,Hero Electric Flash,59640.0,,,4-5 Hr
57,One Electric Motorcycles Kridn,135000.0,,,
58,Hop Electric LEO,97504.0,2.0,125.0,52 km/Hr
59,Joy e-bike Mihos,110000.00000000001,,,4 Hr
60,Sokudo Acute,132000.0,3.1,150.0,65 km/Hr
61,Warivo Motors Nexa,74300.0,,,
62,Okinawa Dual 100,119000.0,,,5-6 Hr
63,eblu Feo,99999.0,2.52,110.0,60 km/Hr
64,Revolt RV400 BRZ,147000.0,3.24,150.0,85 km/Hr
65,AMO Electric Jaunty,90064.0,,,6 Hr
66,Komaki XGT KM,93045.0,,,
67,ADMS Mantra,98000.0,,,
68,Joy e-bike Wolf,91350.0,1.38,60.0,25 km/Hr
69,Ozotec Flio,132000.0,,,
70,Atumobile AtumVader,138000.0,2.9,100.0,65 km/Hr
71,Jitendra JMT 1000HS,97224.0,2.0,80.0,52 km/Hr
72,Gemopai Miso,44000.0,,,3-4 Hr
73,PURE EV Epluto 7G Max,113999.99999999999,,,
74,Zelio Eeva,57475.0,,,
75,Avon E Lite,28000.0,,,4-8 Hr
76,Atumobile Atum Version 1.0,61500.0,,,3-4 Hr
77,Odysse Electric Evoqis,171000.0,,,
78,Joy e-bike Gen Next Nanu,88250.0,,,3-3.5 Hr
79,Kinetic Green Flex,109000.00000000001,,,3 Hr
80,Orxa Mantis,360000.0,,,
81,PURE EV ETrance Neo,83999.0,2.5,120.0,60 km/Hr
82,NIJ Automotive Accelero R14,73326.0,1.54,180.0,3-4 Hr
