,Bike Name,Price,Range,Kwh,Range_per_charge,Max_speed
0,Ola S1 Pro,Rs. 1.29 Lakh,4 Kwh | 195 km/charge | 120 km/Hr,4 Kwh,195 km/charge,120 km/Hr
1,TVS iQube,Rs. 1.17 Lakh,3.4 Kwh | 100 km/charge | 78 km/Hr,3.4 Kwh,100 km/charge,78 km/Hr
2,Ather 450X,Rs. 1.25 - 1.28 Lakh,3.7 Kwh | 150 km/charge | 90 km/Hr,3.7 Kwh,150 km/charge,90 km/Hr
3,Bajaj Chetak,Rs. 1.15 - 1.44 Lakh,3.2 Kwh | 127 km/charge | 73 km/Hr,3.2 Kwh,127 km/charge,73 km/Hr
4,Ola S1 X,"Rs. 79,999 - 1.09 Lakh",2 Kwh | 95 km/charge | 85 km/Hr,2 Kwh,95 km/charge,85 km/Hr
5,Hero Electric Optima,Rs. 1.06 - 1.29 Lakh,135 km/charge | 55 km/Hr | 6.5 Hr,135 km/charge,55 km/Hr,6.5 Hr
6,Revolt RV400,Rs. 1.26 - 1.43 Lakh,3.24 Kwh | 80-150 km/charge | 85 km/Hr,3.24 Kwh,80-150 km/charge,85 km/Hr
7,Vida V1,"Rs. 97,800 - 1.26 Lakh",3.94 Kwh | 110 km/charge | 80 km/Hr,3.94 Kwh,110 km/charge,80 km/Hr
8,Kinetic e-Luna,"Rs. 69,990 - 74,990",1.7 Kwh | 90 km/charge | 50 km/Hr,1.7 Kwh,90 km/charge,50 km/Hr
9,Ola S1 Air,Rs. 1.04 Lakh,3 Kwh | 151 km/charge | 90 km/Hr,3 Kwh,151 km/charge,90 km/Hr
10,Simple One,Rs. 1.45 - 1.50 Lakh,5 Kwh | 212 km/charge | 105 km/Hr,5 Kwh,212 km/charge,105 km/Hr
11,Yulu Wynn,"Rs. 55,555",25 km/Hr,25 km/Hr,,
12,River Indie,Rs. 1.38 Lakh,120 km/charge | 90 km/Hr,120 km/charge,90 km/Hr,
13,Ultraviolette F77,Rs. 3.80 - 5.50 Lakh,10.3 Kwh | 307 km/charge | 152 km/Hr,10.3 Kwh,307 km/charge,152 km/Hr
14,Oben Rorr,Rs. 1.49 Lakh,4.4 Kwh | 187 km/charge | 100 km/Hr,4.4 Kwh,187 km/charge,100 km/Hr
15,Ather 450S,Rs. 1.09 Lakh,2.9 Kwh | 115 km/charge | 90 km/Hr,2.9 Kwh,115 km/charge,90 km/Hr
16,Tork Kratos R,Rs. 1.49 - 1.67 Lakh,180 km/charge | 70 km/Hr | 6-7 Hr,180 km/charge,70 km/Hr,6-7 Hr
17,Bounce Infinity E1+,"Rs. 89,999 - 1.14 Lakh",1.9 Kwh | 85 km/charge | 65 km/Hr,1.9 Kwh,85 km/charge,65 km/Hr
18,Komaki Ranger,Rs. 1.85 Lakh,200-250 km/charge | 6 Hr,200-250 km/charge,6 Hr,
19,Ampere Magnus EX,Rs. 1.04 Lakh,2.29 Kwh | 121 km/charge | 50 km/Hr,2.29 Kwh,121 km/charge,50 km/Hr
20,AMO Electric Jaunty-3W,"Rs. 78,819",75 km/charge | 25 km/Hr | 6 Hr,75 km/charge,25 km/Hr,6 Hr
21,Kinetic Green Zing,"Rs. 71,990 - 84,990",100 km/charge | 45 km/Hr | 3-4 Hr,100 km/charge,45 km/Hr,3-4 Hr
22,TVS X,Rs. 2.49 Lakh,4.44 Kwh | 140 km/charge | 105 km/Hr,4.44 Kwh,140 km/charge,105 km/Hr
23,Okinawa PraisePro,"Rs. 99,645",81 km/charge | 56 km/Hr | 2-3 Hr,81 km/charge,56 km/Hr,2-3 Hr
24,Komaki Flora,"Rs. 69,000",3 Kwh | 85-100 km/charge | 5 Hr,3 Kwh,85-100 km/charge,5 Hr
25,Matter Aera,Rs. 1.73 - 1.83 Lakh,125 km/charge | 5 Hr,125 km/charge,5 Hr,
26,Okaya Faast,Rs. 1.09 - 1.19 Lakh,4.4 Kwh | 140-160 km/charge | 65 km/Hr,4.4 Kwh,140-160 km/charge,65 km/Hr
27,Motovolt Urbn e-Bike,"Rs. 43,649 - 53,999",0.72 Kwh | 120 km/charge | 25 km/Hr,0.72 Kwh,120 km/charge,25 km/Hr
28,Ather 450 Apex,Rs. 1.88 Lakh,3.7 Kwh | 157 km/charge | 100 km/Hr,3.7 Kwh,157 km/charge,100 km/Hr
29,Hero Electric Atria,"Rs. 77,690",85 km/charge | 25 km/Hr | 4-5 Hr,85 km/charge,25 km/Hr,4-5 Hr
30,Hero Electric NYX,"Rs. 73,590 - 86,540",130 km/charge | 42 km/Hr | 4-5 Hr,130 km/charge,42 km/Hr,4-5 Hr
31,Ozotec Bheem,"Rs. 65,990",65 km/Hr,65 km/Hr,,
32,BattRE Electric Storie,Rs. 1.01 Lakh,3.1 Kwh | 132 km/charge | 5 Hr,3.1 Kwh,132 km/charge,5 Hr
33,ABZO VS01,Rs. 1.92 Lakh,5.04 Kwh | 180 km/charge | 6.35 Hr,5.04 Kwh,180 km/charge,6.35 Hr
34,BGauss C12i,Rs. 1.04 - 1.26 Lakh,85 km/charge | 60 km/Hr | 4.15-4.3 Hr,85 km/charge,60 km/Hr,4.15-4.3 Hr
35,Komaki XGT X One,"Rs. 47,617 - 78,920",100-120 km/charge | 8 Hr,100-120 km/charge,8 Hr,
36,Kinetic Green Zoom,"Rs. 75,100 - 82,500",100 km/charge | 40 km/Hr | 3-4 Hr,100 km/charge,40 km/Hr,3-4 Hr
37,Kabira Mobility KM3000,Rs. 1.73 - 1.74 Lakh,4.1 Kwh | 178 km/charge | 120 km/Hr,4.1 Kwh,178 km/charge,120 km/Hr
38,Zelio Gracy i,"Rs. 56,825 - 59,755",60-120 km/charge | 6-8 Hr,60-120 km/charge,6-8 Hr,
39,Avon E Scoot,"Rs. 45,000",0.96 Kwh | 65 km/charge | 24 km/Hr,0.96 Kwh,65 km/charge,24 km/Hr
40,Komaki XGT CAT 2.0,Rs. 1.01 - 1.14 Lakh,90-100 km/charge | 8 Hr,90-100 km/charge,8 Hr,
41,ADMS EVA,Rs. 1.35 Lakh,2.88 Kwh | 90-150 km/charge,2.88 Kwh,90-150 km/charge,
42,PURE EV Epluto 7G,"Rs. 89,999",90-120 km/charge | 60 km/Hr | 4 Hr,90-120 km/charge,60 km/Hr,4 Hr
43,HCD India NPS Cargo,"Rs. 75,850 - 98,850",70 km/charge | 25 km/Hr | 3 Hr,70 km/charge,25 km/Hr,3 Hr
44,BNC Motors Challenger,Rs. 1.17 Lakh,90 km/charge | 75 km/Hr | 3-4 Hr,90 km/charge,75 km/Hr,3-4 Hr
45,Avon E Plus,"Rs. 25,000",0.58 Kwh | 50 km/charge | 24 km/Hr,0.58 Kwh,50 km/charge,24 km/Hr
46,BattRE Electric LoEV,"Rs. 59,990 - 1.02 Lakh",60-150 km/charge | 2.5 Hr,60-150 km/charge,2.5 Hr,
47,Revamp Moto RM Buddie 25,"Rs. 69,999",70 km/charge | 25 km/Hr | 3 Hr,70 km/charge,25 km/Hr,3 Hr
48,Lectrix EV LXS G 2.0,"Rs. 87,999",65-80 km/charge | 55 km/Hr | 3 Hr,65-80 km/charge,55 km/Hr,3 Hr
49,Power EV P-Sport,Rs. 1.57 - 1.89 Lakh,4.32 Kwh | 210 km/charge | 85 km/Hr,4.32 Kwh,210 km/charge,85 km/Hr
50,Simple Dot One,Rs. 1.39 Lakh,151 km/charge | 105 km/Hr,151 km/charge,105 km/Hr,
51,Gravton Quanta,"Rs. 99,000",70 km/Hr | 3 Hr,70 km/Hr,3 Hr,
52,Ampere NXG,Rs. 1.35 - 1.55 Lakh,,,,
53,BGauss D15,Rs. 1.34 - 1.45 Lakh,115 km/charge | 60 km/Hr | 5.5 Hr,115 km/charge,60 km/Hr,5.5 Hr
54,Benling Aura,Rs. 1.21 Lakh,120 km/charge | 65 km/Hr | 4 Hr,120 km/charge,65 km/Hr,4 Hr
55,Deltic Drixx,"Rs. 59,990 - 86,990",1.58 Kwh | 70-100 km/charge | 25 km/Hr,1.58 Kwh,70-100 km/charge,25 km/Hr
56,Hero Electric Flash,"Rs. 59,640",85 km/charge | 25 km/Hr | 4-5 Hr,85 km/charge,25 km/Hr,4-5 Hr
57,One Electric Motorcycles Kridn,Rs. 1.35 Lakh,110 km/charge | 95 km/Hr,110 km/charge,95 km/Hr,
58,Hop Electric LEO,"Rs. 84,360 - 97,504",2 Kwh | 125 km/charge | 52 km/Hr,2 Kwh,125 km/charge,52 km/Hr
59,Joy e-bike Mihos,Rs. 1.10 Lakh,130 km/charge | 70 km/Hr | 4 Hr,130 km/charge,70 km/Hr,4 Hr
60,Sokudo Acute,Rs. 1.25 - 1.32 Lakh,3.1 Kwh | 150 km/charge | 65 km/Hr,3.1 Kwh,150 km/charge,65 km/Hr
61,Warivo Motors Nexa,"Rs. 58,300 - 74,300",90-95 km/charge | 5-8 Hr,90-95 km/charge,5-8 Hr,
62,Okinawa Dual 100,Rs. 1.19 Lakh,110-120 km/charge | 25 km/Hr | 5-6 Hr,110-120 km/charge,25 km/Hr,5-6 Hr
63,eblu Feo,"Rs. 99,999",2.52 Kwh | 110 km/charge | 60 km/Hr,2.52 Kwh,110 km/charge,60 km/Hr
64,Revolt RV400 BRZ,Rs. 1.47 Lakh,3.24 Kwh | 80-150 km/charge | 85 km/Hr,3.24 Kwh,80-150 km/charge,85 km/Hr
65,AMO Electric Jaunty,"Rs. 59,966 - 90,064",80-90 km/charge | 25 km/Hr | 6 Hr,80-90 km/charge,25 km/Hr,6 Hr
66,Komaki XGT KM,"Rs. 56,890 - 93,045",130-150 km/charge | 8 Hr,130-150 km/charge,8 Hr,
67,ADMS Mantra,"Rs. 98,000",60-100 km/charge | 4-8 Hr,60-100 km/charge,4-8 Hr,
68,Joy e-bike Wolf,"Rs. 63,000 - 91,350",1.38 Kwh | 60 km/charge | 25 km/Hr,1.38 Kwh,60 km/charge,25 km/Hr
69,Ozotec Flio,Rs. 1.13 - 1.32 Lakh,6 Hr,6 Hr,,
70,Atumobile AtumVader,Rs. 1.08 - 1.38 Lakh,2.9 Kwh | 100 km/charge | 65 km/Hr,2.9 Kwh,100 km/charge,65 km/Hr
71,Jitendra JMT 1000HS,"Rs. 97,224",2 Kwh | 80 km/charge | 52 km/Hr,2 Kwh,80 km/charge,52 km/Hr
72,Gemopai Miso,"Rs. 44,000",60-75 km/charge | 35 km/Hr | 3-4 Hr,60-75 km/charge,35 km/Hr,3-4 Hr
73,PURE EV Epluto 7G Max,Rs. 1.14 Lakh,150-201 km/charge | 60 km/Hr,150-201 km/charge,60 km/Hr,
74,Zelio Eeva,"Rs. 54,575 - 57,475",60-120 km/charge | 6-8 Hr,60-120 km/charge,6-8 Hr,
75,Avon E Lite,"Rs. 28,000",50 km/charge | 24 km/Hr | 4-8 Hr,50 km/charge,24 km/Hr,4-8 Hr
76,Atumobile Atum Version 1.0,"Rs. 61,500",100 km/charge | 25 km/Hr | 3-4 Hr,100 km/charge,25 km/Hr,3-4 Hr
77,Odysse Electric Evoqis,Rs. 1.71 Lakh,80 km/Hr | 6 Hr,80 km/Hr,6 Hr,
78,Joy e-bike Gen Next Nanu,"Rs. 58,000 - 88,250",60 km/charge | 25 km/Hr | 3-3.5 Hr,60 km/charge,25 km/Hr,3-3.5 Hr
79,Kinetic Green Flex,Rs. 1.09 Lakh,120 km/charge | 72 km/Hr | 3 Hr,120 km/charge,72 km/Hr,3 Hr
80,Orxa Mantis,Rs. 3.60 Lakh,221 km/charge | 135 km/Hr,221 km/charge,135 km/Hr,
81,PURE EV ETrance Neo,"Rs. 83,999",2.5 Kwh | 90-120 km/charge | 60 km/Hr,2.5 Kwh,90-120 km/charge,60 km/Hr
82,NIJ Automotive Accelero R14,"Rs. 49,731 - 73,326",1.54 Kwh | 180 km/charge | 3-4 Hr,1.54 Kwh,180 km/charge,3-4 Hr
